variations;Encryption Choice;Deployment Location Database A;Data Sensivity Choice;Database Choice;Deployment Location Backup Service
configuration_0;0;0;0;0;0
configuration_1;1;0;0;0;0
configuration_2;0;1;0;0;0
configuration_3;1;1;0;0;0
configuration_4;0;0;1;0;0
configuration_5;1;0;1;0;0
configuration_6;0;1;1;0;0
configuration_7;1;1;1;0;0
configuration_8;0;0;0;1;0
configuration_9;1;0;0;1;0
configuration_10;0;1;0;1;0
configuration_11;1;1;0;1;0
configuration_12;0;0;1;1;0
configuration_13;1;0;1;1;0
configuration_14;0;1;1;1;0
configuration_15;1;1;1;1;0
configuration_16;0;0;0;0;1
configuration_17;1;0;0;0;1
configuration_18;0;1;0;0;1
configuration_19;1;1;0;0;1
configuration_20;0;0;1;0;1
configuration_21;1;0;1;0;1
configuration_22;0;1;1;0;1
configuration_23;1;1;1;0;1
configuration_24;0;0;0;1;1
configuration_25;1;0;0;1;1
configuration_26;0;1;0;1;1
configuration_27;1;1;0;1;1
configuration_28;0;0;1;1;1
configuration_29;1;0;1;1;1
configuration_30;0;1;1;1;1
configuration_31;1;1;1;1;1
