variations;Encryption Choice;Deployment Location Database A;Data Sensivity Choice;Database Choice;Deployment Location Backup Service
configuration_0;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;0;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_1;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;0;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_2;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;0;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_3;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;0;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_4;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_5;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_6;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_7;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_8;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_9;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_10;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_11;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_12;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_13;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_14;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_15;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;CloudServer EU _qvz80ITgEeywmO_IpTxeAg
configuration_16;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;0;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
